번호,도서관명,도서관홈페이지,상품종류,제목,저자,출판사,출판일,국제표준도서번호,보유 종수,공급사,대분류,중분류,데이터 기준일자
10570,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,갈매기의 꿈,리차드 바크,소담출판사,,,5,BC,소설,외국소설,2025-08-22
10571,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,갈매기의 꿈,리차드 바크,선영사,,,5,BC,소설,외국소설,2025-08-22
10572,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,감옥으로부터의 사색,신영복,돌베개,,,5,BC,시/에세이,에세이,2025-08-22
10573,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강(江) 건너간 노래,이육사,북토피아,,,5,BC,소설,외국소설,2025-08-22
10574,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강감찬,두산동아편집부,두산동아,,,5,BC,아동,어린이학습/자기계발,2025-08-22
10575,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강낭콩의 한살이 알아보기,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10576,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강낭콩이 잘 자라려면?,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10577,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강수돌 교수의 나부터 교육혁명,강수돌,그린비,,,5,BC,시/에세이,에세이,2025-08-22
10578,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강아지 복실이 / Puppy Named Boksiri,김유대,국민서관,,,5,BC,유아,그림책,2025-08-22
10579,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강아지 소동,아툰즈 편집부,아툰즈,,,5,BC,유아,그림책,2025-08-22
10580,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,강의 모습,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10581,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"강한 자여, 그대는 직장인",공선표,좋은책만들기,,,5,BC,자기계발,성공/처세,2025-08-22
10582,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,같은 부피의 액체 무게 비교,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10583,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개 - 내 가난한 발바닥의 기록,김훈,(주)도서출판푸른숲,,,5,BC,소설,한국소설,2025-08-22
10584,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개구리 왕자 - 우리아기 처음 보는 명작 11,옹달샘,대교출판,,,5,BC,유아,그림책,2025-08-22
10585,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개구리네 한솥밥 / Froggy`s Pot of Rice,김현수,효리원,,,5,BC,유아,그림책,2025-08-22
10586,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"개구리에게 최면걸기 - 아주 오래된 놀이터, 숲속에서 만나는 동물이야기",이한음,지호출판사,,,5,BC,아동,어린이학습/자기계발,2025-08-22
10587,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개똥이 이야기,최창남,푸른나무,,,5,BC,유아,그림책,2025-08-22
10588,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개미귀신의 꿈 - 자연은 내친구 2,김종문,창조아이,,,5,BC,유아,그림책,2025-08-22
10589,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개미는 왜 허리가 잘록할까,동화사랑 편집부,동화사랑연구소,,,5,BC,유아,그림책,2025-08-22
10590,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개미와 배짱이 - 우리아기 첫 이솝 이야기 1,바이러스 헤드,대교출판,,,5,BC,유아,그림책,2025-08-22
10591,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개미와 번데기(ant and pupa),이키드북 편집부,이키드북,,,5,BC,유아,그림책,2025-08-22
10592,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개미와 번데기(중국어),이키드북 편집부,이키드북,,,5,BC,유아,그림책,2025-08-22
10593,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개밥,주요섭,책과삶,,,5,BC,소설,한국소설,2025-08-22
10594,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개와 고양이 / Dog and the Cat,김중철,웅진닷컴,,,5,BC,유아,그림책,2025-08-22
10595,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개와고양이- 퍼즐맞추기,이키드북 편집부,이키드북,,,5,BC,아동,어린이학습/자기계발,2025-08-22
10596,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개인 브랜드 성공 전략,신병철,살림출판사,,,5,BC,자기계발,성공/처세,2025-08-22
10597,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,갯벌,백용해,창조문화,,,5,BC,과학/공학,교양과학,2025-08-22
10598,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,거꾸로 된 세상,동화사랑 편집부,동화사랑연구소,,,5,BC,유아,그림책,2025-08-22
10599,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,거북이,동화사랑 편집부,동화사랑연구소,,,5,BC,유아,그림책,2025-08-22
10600,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,거울,원성스님,이레,,,5,BC,시/에세이,시,2025-08-22
10601,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,거울 없는 나라 - 꿈을 키우는 책꽂이 7,한정영,랜덤하우스코리아,,,5,BC,유아,그림책,2025-08-22
10602,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,거울에 비친 모양 알아내기,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10603,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,거짓말쟁이는 들통나게 되있어요,동화사랑 편집부,동화사랑연구소,,,5,BC,유아,그림책,2025-08-22
