번호,도서관명,도서관홈페이지,상품종류,제목,저자,출판사,출판일,국제표준도서번호,보유 종수,공급사,대분류,중분류,데이터 기준일자
1555,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,도둑의 도시 가이드,제프 마노 저/김주양 역,열림원,2018-10-07,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
1556,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,독서의 기쁨,김겨울 저,초록비책공방,2018-05-01,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
1557,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,돈을 좋아하는 사람 돈이 좋아하는 사람,사쿠라가와 신이치 저/하진수 역,경원북스,2019-03-20,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
1558,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,돌이킬 수 없는 약속,야쿠마루 가쿠 저/김성미 역,북플라자,2018-05-09,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1559,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,둠즈데이북 1,코니 윌리스 저/최용준 역,아작(디자인콤마),2018-02-22,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1560,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,둠즈데이북 2,코니 윌리스 저/최용준 역,아작(디자인콤마),2018-02-22,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1561,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"디즈니 프린세스, 내일의 너는 더 빛날 거야",디즈니 프린세스 원작,알에이치코리아(RHK),2019-02-11,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1562,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,디즈니의 악당들 1 : 사악한 여왕,세레나 발렌티노 저/주정자 역,라곰,2018-12-03,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1563,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,디즈니의 악당들 2 : 저주받은 야수,세레나 발렌티노 저/석가원 역,라곰,2018-12-03,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1564,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,디즈니의 악당들 3 : 버림받은 마녀,세레나 발렌티노 저/김지혜 역,라곰,2018-12-03,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1565,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,디즈니의 악당들 4 : 말레피센트,세레나 발렌티노 저/주정자 역,라곰,2019-01-28,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1566,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,따라하면 매출이 따라오는 인스타그램 마케팅,"양성길,최재용 공저",원앤원북스,2018-05-01,9.79E+12,1,YES24,경제/경영,마케팅/세일즈,2025-08-22
1567,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,딱! 90분만에 끝내는 영문법 (외우지 말고 영문법 이해하라!),잇끌림영어 저,u-paper(유페이퍼),2016-07-14,             ,1,YES24,언어,문법/단어/독해/작문,2025-08-22
1568,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,딸에게 주는 레시피,공지영 저 저,한겨레출판,2015-06-17,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1569,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,딸에게 차려주는 식탁,김진영 저,인플루엔셜,2018-02-23,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1570,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,딸은 엄마의 감정 쓰레기통이 아니다,가야마 리카 저/김경은 역,걷는나무,2018-04-24,9.79E+12,2,YES24,인문,교양심리,2025-08-22
1571,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"라이언, 내 곁에 있어줘",전승환 저,arte(아르테),2019-03-20,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1572,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,레트로의 유니티 게임 프로그래밍 에센스,이제민(레트로) 저,한빛미디어,2019-03-15,9.79E+12,1,YES24,IT/프로그래밍,컴퓨터공학,2025-08-22
1573,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,리밸런싱(REBALANCING),박홍기 저,좋은땅,2019-01-11,9.79E+12,1,YES24,경제/경영,경제일반,2025-08-22
1574,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,리얼 라이즈,T. M. 로건 저/이수영 역,arte(아르테),2018-09-11,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1575,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,리치 파머,"김철수,김재후,고은이,강진규,홍선표 공저",한국경제신문사(한경비피),2018-12-19,9.79E+12,2,YES24,경제/경영,경영일반,2025-08-22
1576,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마더 크리스마스(Mother Christmas),"히가시노 게이고 글, 스기타 히로미 그림 저",소미북스,2018-12-17,9.79E+12,1,YES24,유아,그림책,2025-08-22
1577,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마리카의 장갑,오가와 이토 저/히라사와 마리코 그림/이윤정 역,작가정신,2018-12-28,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1578,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마법을 믿지 않는 마술사 안톤 씨,라르스 바사 요한손 저/배명자 역,북로그컴퍼니,2018-04-19,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1579,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"마음아, 넌 누구니",박상미 저,한국경제신문사(한경비피),2018-08-08,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1580,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마음의 지도,이인식 저,다산사이언스,2019-04-01,9.79E+12,1,YES24,인문,교양심리,2025-08-22
1581,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마음이 살짝 기운다,나태주 저/로아 그림,알에이치코리아(RHK),2019-03-12,9.79E+12,2,YES24,시/에세이,기타,2025-08-22
1582,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마음이 콩밭에 가 있습니다,최명기 저,놀,2018-02-21,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1583,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마인드맵의 기술,"이형일, 김서윤 저",북아띠,2019-02-20,9.79E+12,1,YES24,자기계발,자기능력계발,2025-08-22
1584,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마케터의 여행법,김석현(김투몽) 저,북스톤,2019-01-24,9.79E+12,1,YES24,경제/경영,마케팅/세일즈,2025-08-22
1585,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마케팅 차별화의 법칙,"신상훈,강혁진,김대선,서정우 공저",천그루숲,2019-02-01,9.79E+12,1,YES24,경제/경영,마케팅/세일즈,2025-08-22
1586,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마흔에 관하여,정여울 저,한겨레출판,2019-02-26,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1587,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마흔에 시작하는 은퇴공부,백만기 저,비전코리아,2019-02-20,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
1588,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,만들면서 배우는 워드프레스(개정판),박현우 저,한빛미디어,2018-08-06,9.79E+12,1,YES24,IT/프로그래밍,컴퓨터공학,2025-08-22
1589,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,만들어진 진실,헥터 맥도널드 저/이지연 역,흐름출판,2018-12-14,9.79E+12,2,YES24,인문,인문학일반,2025-08-22
1590,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"만화로 읽는 교양 철학, 논어",김부일 저,보랏빛소,2019-03-06,9.79E+12,1,YES24,인문,교양철학,2025-08-22
1591,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,말과 마음 사이,이서원 저,샘터,2018-07-02,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1592,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,말센스,셀레스트 헤들리 저/김성환 역,스몰빅라이프,2019-02-25,9.79E+12,1,YES24,자기계발,인간관계,2025-08-22
1593,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,말은 운명의 조각칼이다,이민호 저,천그루숲,2018-12-26,9.79E+12,1,YES24,자기계발,화술/협상,2025-08-22
1594,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,말의 내공,"신도현,윤나루 공저",행성B,2019-02-28,9.79E+12,1,YES24,인문,교양철학,2025-08-22
1595,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,말이 칼이 될 때,홍성수 저,어크로스,2018-01-11,9.79E+12,1,YES24,정치/사회,사회학,2025-08-22
1596,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,말투 하나로 의외로 잘 되기 시작했다,오시마 노부요리 저,위즈덤하우스,2019-02-01,9.79E+12,2,YES24,자기계발,화술/협상,2025-08-22
1597,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,말투는 부드럽게 그러나 행동은 단호하게,정다원 저,세종미디어,2018-10-01,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1598,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"맙소사, 마흔",파멜라 드러커맨 저/안진이 역,세종서적,2018-12-17,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
1599,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,맛있는 디자인 포토샵 & 일러스트레이터 CC 2019,"빨간고래(박정아),윤이사라(포완카) 공저",한빛미디어,2019-02-20,9.79E+12,1,YES24,IT/프로그래밍,그래픽/디자인,2025-08-22
1600,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2019,"김덕영,심수진,윤성우,이수정 공저",한빛미디어,2019-02-20,9.79E+12,1,YES24,IT/프로그래밍,그래픽/디자인,2025-08-22
1601,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,매력은 습관이다,이케하라 마사코 저/이주희 역,동양북스(동양books),2018-04-10,9.79E+12,1,YES24,자기계발,인간관계,2025-08-22
1602,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"매일, 조금씩 자신감 수업","라우라 지바우어,기타 야코프 공저/최린 역",시목,2018-04-26,9.79E+12,1,YES24,인문,교양심리,2025-08-22
1603,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,매일매일 좋은 날,모리시타 노리코 저/이유라 역,알에이치코리아(RHK),2019-02-25,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1604,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,매출 100배 올리는 유통 마케팅 비법,유노연 저,중앙경제평론사,2019-01-10,9.79E+12,1,YES24,경제/경영,마케팅/세일즈,2025-08-22
1605,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,맥 쓰는 사람들의 macOS 모하비,고래돌이(김상우) 저,한빛미디어,2018-11-16,9.79E+12,1,YES24,IT/프로그래밍,컴퓨터공학,2025-08-22
1606,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,머니패턴,"이요셉,김채송화 공저",비즈니스북스,2019-03-14,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
1607,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,머리를 비우는 뇌과학,닐스 비르바우머·외르크 치틀라우 저/오공훈 역,메디치미디어,2018-12-21,9.79E+12,1,YES24,과학/공학,교양과학,2025-08-22
1608,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,먹고 마시는 것들의 자연사,조너선 실버타운 저/노승영 역,서해문집,2019-01-02,9.79E+12,1,YES24,과학/공학,교양과학,2025-08-22
1609,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,먹고사는 게 전부가 아닌 날도 있어서,노지양 저,북라이프,2018-12-18,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1610,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,메르타 할머니의 우아한 강도 인생,카타리나 잉엘만순드베리 저/정장진 역,열린책들,2018-10-10,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1611,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,메이드 인 강남,주원규 저,네오픽션,2019-02-18,9.79E+12,1,YES24,소설,한국소설,2025-08-22
1612,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,메트로 2033 (상),드미트리 글루코프스키 저,제우미디어,2015-09-21,9.79E+12,1,YES24,소설,SF/판타지,2025-08-22
1613,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,메트로 2033 (하),드미트리 글루코프스키 저,제우미디어,2015-09-21,9.79E+12,1,YES24,소설,SF/판타지,2025-08-22
1614,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,메트로 2033 유니버스,세르게이 안토노프 저/김윤희 역 저,제우미디어,2015-09-21,9.79E+12,1,YES24,소설,SF/판타지,2025-08-22
1615,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,메트로 2033 유니버스,안드레이 디야코프 저/김윤희 역 저,제우미디어,2015-09-21,9.79E+12,1,YES24,소설,SF/판타지,2025-08-22
1616,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,멜랑콜리 해피엔딩,"강화길,권지예,김사과,김성중,김숨,김종광,박민정,백가흠,백민석 등저",작가정신,2019-01-18,9.79E+12,1,YES24,소설,한국소설,2025-08-22
1617,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,며느리 사표,영주 저,사이행성,2018-02-28,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1618,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,명견만리 - 공존의 시대 편,KBS [명견만리]  제작진 저,인플루엔셜,2019-02-28,9.79E+12,1,YES24,경제/경영,경제일반,2025-08-22
1619,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,명상록,마르쿠스 아우렐리우스 저/박문재 역,현대지성,2018-04-17,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
1620,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,모두가 인기를 원한다,미치 프린스틴 저/김아영 역,위즈덤하우스,2018-07-27,9.79E+12,2,YES24,인문,교양심리,2025-08-22
1621,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,모든 것이 마법처럼 괜찮아질 거라고,제딧 저,위즈덤하우스,2018-12-07,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1622,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,모든 동물은 섹스 후 우울해진다,김나연 저,문학테라피,2019-01-08,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1623,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,모서리의 탄생,신주희 저,자음과모음,2018-03-13,9.79E+12,1,YES24,소설,한국소설,2025-08-22
1624,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,몽위,온다 리쿠 저/양윤옥 역,노블마인,2017-09-27,9.79E+12,2,YES24,소설,로맨스,2025-08-22
1625,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,몽키 하우스에 오신 것을 환영합니다,커트 보니것 저/황윤영 역,f(에프),2018-11-30,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1626,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,무탈한 오늘,문지안 저,21세기북스,2019-01-10,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1627,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,문화 기호학과 문화 콘텐츠,백승국 저,다할미디어,2011-02-28,9.79E+12,1,YES24,역사/문화,역사일반/고고학,2025-08-22
1628,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,물건으로 읽는 세계사,미야자키 마사카츠 저/박현아 역,현대지성,2018-12-05,9.79E+12,1,YES24,역사/문화,세계사,2025-08-22
1629,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,미니멀라이프 물건 관리와 정리법,주부의 벗사 저,즐거운상상,2019-03-15,9.79E+12,1,YES24,가정/생활/요리,홈인테리어,2025-08-22
1630,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,미라의 염원,홍병유 저,가을편지,2019-03-29,9.79E+12,1,YES24,소설,한국소설,2025-08-22
1631,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,미루기의 천재들,앤드루 산텔라 저/김하현 역,어크로스,2019-02-22,9.79E+12,1,YES24,역사/문화,세계사,2025-08-22
1632,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,미스터 션샤인 1,김은숙 극본/김수연 소설,알에이치코리아(RHK),2018-10-15,9.79E+12,2,YES24,소설,한국소설,2025-08-22
1633,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,미스터 션샤인 2,김은숙 극본/김수연 소설,알에이치코리아(RHK),2018-10-15,9.79E+12,2,YES24,소설,한국소설,2025-08-22
1634,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"미안하지만, 오늘은 내 인생이 먼저예요",이진이 저,위즈덤하우스,2018-11-23,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1635,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"미키 마우스, 나 자신을 사랑해줘",미키 마우스 원작,알에이치코리아(RHK),2018-11-07,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1636,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,밀란이랑 오늘도 걱정말개,오혜진 저,21세기북스,2018-12-27,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1637,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,밀레니얼과 함께 일하는 법,이은형 저,앳워크,2019-01-31,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
1638,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,밀리테크 4.0,매일경제 국민보고대회팀 저,매일경제신문사,2019-03-25,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
1639,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,바보아저씨의 경제 이야기,바보아저씨 저,바른북스,2018-09-21,9.79E+12,1,YES24,경제/경영,경제일반,2025-08-22
1640,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,바보아저씨의 경제이야기 2권,바보아저씨 저,바른북스,2018-10-31,9.79E+12,1,YES24,경제/경영,경제일반,2025-08-22
1641,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,반짝반짝 공화국,오가와 이토 저/권남희 역,위즈덤하우스,2018-09-28,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1642,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"발터 벤야민, 사진에 대하여",발터 벤야민 저/에스터 레슬리 편/김정아 역,위즈덤하우스,2018-03-30,9.79E+12,2,YES24,인문,서양철학,2025-08-22
1643,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,밤을 새워 준비해 혼을 다해 말했더니 그래서 하고 싶은 말이 뭔데?라고 들었다...,다케우치 가오루 저/사가노 고이치 구성/백운숙 역,청림출판,2018-09-06,9.79E+12,1,YES24,자기계발,화술/협상,2025-08-22
1644,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,밥보다 일기,서민 저,책밥상,2018-12-01,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
1645,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,백 번째 여왕,에밀리 킹 저/윤동준 역,에이치,2018-07-29,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1646,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,백종원의 도전 요리왕 1 일본,"백종원,얌이 글/이정태 그림",위즈덤하우스,2019-03-29,9.79E+12,2,YES24,가정/생활/요리,요리,2025-08-22
1647,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,백종원의 장사 이야기,백종원 저,서울문화사,2018-12-14,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
1648,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,번역가 모모 씨의 일일,"노승영,박산호 공저",세종서적,2018-08-28,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1649,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,베일리 어게인 (개정판),W.브루스 카메론 저/이창희 역,페티앙북스,2018-11-20,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1650,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,별의 계승자 2,제임스 P. 호건 저,아작,2017-08-25,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1651,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,별의 계승자 3,제임스 P. 호건 저/최세진 역,아작(디자인콤마),2018-01-25,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1652,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,보기왕이 온다,사와무라 이치 저/이선희 역,arte(아르테),2018-10-26,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1653,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,보수는 어떻게 지배하는가,앨버트 O. 허시먼 저/이근영 역,웅진지식하우스,2015-06-02,9.79E+12,2,YES24,정치/사회,정치/외교,2025-08-22
1654,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,보통 사람들의 전쟁,앤드루 양 저/장용원 역,흐름출판,2019-02-14,9.79E+12,2,YES24,정치/사회,교육/환경,2025-08-22
1655,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,봉제인형 살인사건,다니엘 콜 저/유혜인 역,북플라자,2018-04-13,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1656,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,부동산 경매 처음공부,설춘환 저,이레미디어,2019-02-28,9.79E+12,1,YES24,경제/경영,경제일반,2025-08-22
1657,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,불만의 품격,최서윤 저,웨일북,2018-04-20,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1658,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,불편한 사람과 편하게 대화하는 법,고니시 미호 저/김윤경 역,비즈니스북스,2018-05-29,9.79E+12,1,YES24,자기계발,화술/협상,2025-08-22
1659,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,브랜드 미,박노성 저,이가서,2019-02-28,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
1660,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,브랜드;짓다,민은정 저,리더스북,2019-03-13,9.79E+12,2,YES24,경제/경영,마케팅/세일즈,2025-08-22
1661,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,브루투스의 심장(개정판),히가시노 게이고 저/민경욱 역,알에이치코리아(RHK),2018-11-29,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1662,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,블랭킹 캣,시게마쓰 기요시 저/김미림 역,arte(아르테),2018-04-06,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1663,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,블러디 프로젝트,그레임 맥레이 버넷 저/조영학 역,열린책들,2019-01-17,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1664,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,비됴클래스 하줜의 유튜브 동영상 편집 with 프리미어 프로,하지원 저,한빛미디어,2018-12-06,9.79E+12,1,YES24,IT/프로그래밍,그래픽/디자인,2025-08-22
1665,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,비우니 좋다,최미영 저,마음세상,2019-03-29,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1666,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,비커밍,미셸 오바마 저/김명남 역,웅진지식하우스,2018-11-14,9.79E+12,2,YES24,인문,인문학일반,2025-08-22
1667,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,빅프라핏,"신현암,이방실 공저",흐름출판,2019-03-05,9.79E+12,2,YES24,경제/경영,경영일반,2025-08-22
1668,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,빈센트 그리고 테오,데보라 하일리그먼 저/전하림 역,f(에프),2019-03-30,9.79E+12,1,YES24,예술/대중문화,미술,2025-08-22
1669,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,빼기의 여행,송은정 저,걷는나무,2019-04-02,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1670,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,뽀샵보다 마케팅,서형윤 저,아티오,2019-03-10,9.79E+12,1,YES24,경제/경영,마케팅/세일즈,2025-08-22
1671,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,뿌리가 튼튼한 사람이 되고 싶어,신미경 저,뜻밖,2018-12-27,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1672,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사과를 먹을 땐 사과를 먹어요,디아 저,웨일북,2019-03-05,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1673,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사는 게 힘드냐고 니체가 물었다,박찬국 저,21세기북스,2018-12-19,9.79E+12,2,YES24,인문,교양철학,2025-08-22
1674,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사라진 후작,낸시 스프링어 저/김진희 역,북레시피,2018-11-06,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1675,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사람들 앞에서 기죽지 않고 말 잘하는 법,도리타니 아사요 저,상상출판,2018-06-07,9.79E+12,1,YES24,자기계발,화술/협상,2025-08-22
1676,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사람의 아이들,P. D. 제임스 저/이주혜 역,아작(디자인콤마),2019-03-05,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1677,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사람이 있었네,김경수 저,비타베아타,2019-03-22,9.79E+12,1,YES24,정치/사회,정치/외교,2025-08-22
1678,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사랑 항목을 참조하라,다비드 그로스만 저/황가한 역,웅진지식하우스,2018-04-18,9.79E+12,2,YES24,소설,외국소설,2025-08-22
1679,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"사랑하게 해줘서, 고마워",김재식 저/최청운 그림,쌤앤파커스,2019-01-25,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1680,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사랑하는 습관,도리스 레싱 저/김승욱 역,문예출판사,2018-08-30,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1681,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사랑하는 아내가 정신병원에 갔다,마크 루카치 저/박여진 역,걷는나무,2019-01-22,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
1682,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사랑한다고 했다가 죽이겠다고 했다가,악셀 린덴 저/김정아 역,심플라이프,2019-02-22,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1683,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"사물인터넷, 스마트센서로 정복하다",정용택 저,유페이퍼,2019-03-26,9.79E+12,1,YES24,과학/공학,교양과학,2025-08-22
1684,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사소한 자비,앤 레키 저/신해경 역,아작(디자인콤마),2018-03-15,9.79E+12,1,YES24,소설,외국소설,2025-08-22
1685,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사실은 괜찮지 않았어,앵그리 애나 저,채륜서,2019-02-10,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
1686,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사장을 죽이고 싶나,원샨 저/정세경 역,아작(디자인콤마),2018-05-01,9.79E+12,1,YES24,소설,외국소설,2025-08-22
