번호,구분,상품번호,대분류,서명,저자,출판사,보유 권수,데이터기준일
9093,전자책,74361235,인문／사회,당신은 아무 잘못이 없다 : 상처에 지친 내 마음을 지키는 힘,오카다 사오리 저/김지윤 역,앤에이북스,1,2025-07-01
9094,전자책,85382380,인문／사회,당신은 왜 나를 괴롭히는가 : 내 몸과 정신을 파괴하는 사람들을 끊어내는 법,에린 K. 레너드 저/박지선 역,빌리버튼,1,2025-07-01
9095,전자책,80777609,인문／사회,"당신은 왜 인간입니까 : AI시대, 우리를 기다리는 섬뜩한 질문",송은주 저,웨일북,1,2025-07-01
9096,전자책,77287457,문학,당신은 이미 충분합니다,안젤름 그륀 저/김현정 역,쌤앤파커스,1,2025-07-01
9097,전자책,64281719,경제／경영,당신은 햄버거 하나에 팔렸습니다,김지헌 저,중앙북스(books),1,2025-07-01
9098,전자책,80499108,가정과생활,당신은 허리 디스크가 아니다 : 망가진 허리를 재생하는 기적의 내 몸 프로파일링,이창욱 저,쌤앤파커스,1,2025-07-01
9099,전자책,85741990,자기관리,당신을 만드는 당신의 생각 : 영어 명언,루바토 편집부 저,루바토,1,2025-07-01
9100,전자책,77937399,인문／사회,당신을 믿어요  : 상처보다 크고 아픔보다 강한,김윤나 저,카시오페아,1,2025-07-01
9101,전자책,9345925,문학,당신을 이해한다는 것,"하수진, 이다혜, 박진희, 강수현 저",키메이커,1,2025-07-01
9102,전자책,78524759,문학,당신의 계절을 걸어요 : 눈부신 순간과 아름다운 날을 지나,청춘유리(원유리) 저,알에이치코리아(RHK),2,2025-07-01
9103,전자책,60545111,문학,당신의 과거를 지워드립니다 : 비프케 로렌츠 장편소설,비프케 로렌츠 저/서유리 역,레드박스,1,2025-07-01
9104,전자책,52896582,문학,당신의 마음을 정리해 드립니다,가키야 미우 저/이소담 역,지금이책,1,2025-07-01
9105,전자책,78226737,자기관리,당신의 사랑은 지금 행복한가요? : 기시미 이치로의 사랑과 망설임의 철학,기시미 이치로 저/오근영 역,책읽는수요일,1,2025-07-01
9106,전자책,90495386,문학,당신의 아픔이 낫길 바랍니다 : 보통의 죽음을 배웅하고 다시 삶을 마중하는 나날,양성우 저,허밍버드,1,2025-07-01
9107,전자책,70862363,가정과생활,당신의 운동은 몸개그였다 : 바디스컬터 RYU가 알려 주는 셀프 체형 교정 운동과 다이어트,유창성 저,망고나무,1,2025-07-01
9108,전자책,83546722,자기관리,"당신의 이혼을 응원합니다 : 연애, 결혼, 이혼에 관한 솔직 토크, 진심",김향훈 저,끌리는책,1,2025-07-01
9109,전자책,77194510,경제／경영,당신의 팀은 괜찮습니까,조영탁 저,행복한북클럽,1,2025-07-01
9110,전자책,25861114,문학,"당신의 하트, 안녕하십니까",가지이 모토지로 저/정현옥 역,왓북(바른번역),1,2025-07-01
9111,전자책,90526831,문학,당신이 꽃같이 돌아오면 좋겠다 : 7년간 100여 명의 치매 환자를 떠나보내며 생의 끝에서 배운 것들,고재욱 저/박정은 그림,웅진지식하우스,2,2025-07-01
9112,전자책,84936698,자기관리,당신이 누구인지 책으로 증명하라,한근태 저,클라우드나인,1,2025-07-01
9113,전자책,77200785,문학,"당신이 문득 길고양이와 마주친다면 : 15년간 1,500마리의 고양이를 구조한 기적 같은 이야기",유주연 저,비타북스(VITABOOKS),1,2025-07-01
9114,전자책,5470984,자기관리,당신이 살아야하는 이유4,데일 카네기,유페이퍼,1,2025-07-01
9115,전자책,89591837,자연과과학,당신이 생각조차 못 해 본 30년 후 의학 이야기,윤경식 등저,청아출판사,1,2025-07-01
9116,전자책,82590722,인문／사회,당신이 숭배하든 혐오하든 : 페미니즘프레임 몸,김명희 저,낮은산,1,2025-07-01
9117,전자책,90283099,자기관리,당신이 절대 버리지 말아야 할 것 : 남다른 성공을 만드는 ‘내성적인 사람들’의 경쟁력,탄윈페이 저/하은지 역,국일미디어,1,2025-07-01
9118,전자책,90773521,인문／사회,당신이 집에서 논다는 거짓말,정아은 저,천년의상상,1,2025-07-01
9119,전자책,74207173,문학,당충전소 : 당충전을 위해 떠나는 여행,이경주 저,이페이지,1,2025-07-01
9120,전자책,59484364,가정과생활,당황하지 않고 웃으면서 아들 성교육 하는 법,손경이 저,다산에듀,2,2025-07-01
9121,전자책,80745515,자기관리,대가들의 인생조언 Quotes 44 : 명언 모음,루바토 편집부 저,루바토,1,2025-07-01
9122,전자책,7374374,경제／경영,대공황의 역사 반복되다,홍익희 저,홍익인간,1,2025-07-01
9123,전자책,8978676,문학,대동강은 속삭인다,김동인 저,SENAYA,1,2025-07-01
9124,전자책,60853337,문학,대령의 아내,s. 몸 저,세원문고,1,2025-07-01
9125,전자책,83493781,문학,대멸종,"시아란,심너울,범유진,해도연,강유리 공저",안전가옥,1,2025-07-01
9126,전자책,25861526,문학,대박 : 인연과 운명 - 드라마 후기 수필집,장창훈 저,서울문학사,1,2025-07-01
9127,전자책,90061141,경제／경영,대박 펜션의 비밀,김성택 저,유페이퍼,1,2025-07-01
9128,전자책,90063570,가정과생활,대사증후군 식사 가이드,"강남세브란스병원 이지원 교수,영양팀,CJ프레시웨이 공저",싸이프레스,1,2025-07-01
9129,전자책,41109838,문학,대수양 (한국 문학 BEST 작가 작품),김동인 저,문학공감대,1,2025-07-01
9130,전자책,7298020,경제／경영,대영제국이 유대인 한 명을 못 당하다,홍익희 저,홍익인간,1,2025-07-01
9131,전자책,66900417,문학,대용장성(제1권),현하림 저,메이플라워북스,1,2025-07-01
9132,전자책,66900419,문학,대용장성(제2권),현하림 저,메이플라워북스,1,2025-07-01
9133,전자책,66900422,문학,대용장성(제3권),현하림 저,메이플라워북스,1,2025-07-01
9134,전자책,66900423,문학,대용장성(제4권),현하림 저,메이플라워북스,1,2025-07-01
9135,전자책,66900424,문학,대용장성(제5권),현하림 저,메이플라워북스,1,2025-07-01
9136,전자책,43861906,국어와외국어,대장 몬느 Le Grand Meaulnes (프랑스어 문학 시리즈),알랭 푸르니에 Alain-Fournier 저,컨트롤V,1,2025-07-01
9137,전자책,33472144,가정과생활,대장암의 예방과 사례,KBS2TV 비타민 제작 저,콘작,1,2025-07-01
9138,전자책,90385790,인문／사회,"대중을 사로잡는 장르별 플롯 : 드라마에서 영화, 소설, 웹툰, 게임까지 스토리텔링의 감각을 키우는 글쓰기 워크북",마루야마 무쿠 저/송경원 역,지금이책,1,2025-07-01
9139,전자책,61818795,인문／사회,대중의 미망과 광기,찰스 맥케이 저,필맥,1,2025-07-01
9140,전자책,89760644,문학,대지의 세계성,임화 저,온이퍼브,1,2025-07-01
